Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Dominican Republic,3A,70.8,73,0.77,"$20,541",Central America/Caribbean,UM,11.1,1.298099188,1.803241756,0.681747314,-1.1,1.2,2.6,2024-11-01,2024-11-01,0.0
Ecuador,2B,71.5,74,0.74,"$10,847",South America,UM,18.1,2.002709049,1.678287832,1.872750572,0.2,1.1,0.9,2024-11-24,2024-11-24,0.0
Egypt,2B,68.7,70,0.73,"$12,786",Africa,LM,106.2,1.052604386,1.453028069,0.313084392,-1.1,1.0,4.6,,2025-01-14,
El Salvador,3A,69.6,71,0.68,"$9,062",Central America/Caribbean,LM,6.6,1.238605703,1.952642002,0.605743426,-1.3,1.3,3.2,2024-10-09,2024-10-09,0.0
Equatorial Guinea,2A,,61,0.6,"$16,305",Africa,HI,1.5,1.775783042,1.827589203,2.669458685,0.8,1.2,0.7,2024-10-28,2024-10-28,0.0
Eritrea,2A,,67,0.49,"$1,800",Africa,LI,3.7,0.650834507,0.72409465,1.949389245,1.2,0.5,0.4,,2026-02-01,
Estonia,3A,80.6,77,0.89,"$38,353",EU-27,HI,1.3,8.496564624,8.117492437,9.811607127,1.7,5.4,0.8,2024-03-08,2024-03-08,0.0
Eswatini,2A,54.6,57,0.6,"$8,917",Africa,LM,1.2,2.492071566,2.899732537,1.386831466,-1.5,1.9,2.1,2024-07-09,2024-07-08,-1.0
Ethiopia,3A,58,65,0.5,"$2,918",Africa,LI,120.8,0.815771794,0.840928297,0.449047566,-0.4,0.6,1.9,,2025-10-18,
Fiji,3A,72.9,67,0.73,"$11,647",Asia-Pacific,UM,0.9,2.376240486,2.813023151,2.744014775,-0.1,1.9,1.0,2024-07-14,2024-07-14,0.0
Finland,2A,86.5,82,0.94,"$49,686",EU-27,HI,5.6,10.45263399,5.363279722,11.75105354,6.4,3.6,0.5,2024-04-12,2024-04-12,0.0
France,3A,81.2,82,0.9,"$47,995",EU-27,HI,65.6,3.459159259,4.313125146,2.458371838,-1.9,2.9,1.8,2024-05-07,2024-05-07,0.0
French Guiana,2B,,,,,South America,,0.3,1.330895112,1.54705309,85.64610998,84.1,1.0,0.0,2024-12-22,2024-12-22,0.0
